Title,Book_category,Star_rating,Price,Stock,Quantity
A Light in the Attic,Poetry,Three,51.77,In stock,11
Tipping the Velvet,Historical Fiction,One,60.55,In stock,42
Soumission,Fiction,One,55.55,In stock,23
Sharp Objects,Mystery,Four,47.82,In stock,20
Sapiens: A Brief History of Humankind,History,Five,54.23,In stock,20
The Requiem Red,Young Adult,One,22.65,In stock,19
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,33.34,In stock,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,17.93,In stock,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,22.6,In stock,18
The Black Maria,Poetry,One,52.15,In stock,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,13.99,In stock,19
Shakespeare's Sonnets,Poetry,Four,20.66,In stock,19
Set Me Free,Young Adult,Five,17.46,In stock,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,52.29,In stock,19
Rip it Up and Start Again,Music,Five,35.02,In stock,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,57.25,In stock,19
Olio,Poetry,One,23.88,In stock,19
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,37.59,In stock,19
Libertarianism for Beginners,Politics,Two,51.33,In stock,19
It's Only the Himalayas,Travel,Two,45.17,In stock,19
In Her Wake,Thriller,One,12.84,In stock,19
How Music Works,Music,Two,37.32,In stock,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,30.52,In stock,19
Chase Me (Paris Nights #2),Romance,Five,25.27,In stock,19
Black Dust,Romance,Five,34.53,In stock,19
Birdsong: A Story in Pictures,Childrens,Three,54.64,In stock,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,22.5,In stock,19
Aladdin and His Wonderful Lamp,Default,Three,53.13,In stock,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,Five,40.3,In stock,18
Wall and Piece,Art,Four,44.18,In stock,18
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,17.66,In stock,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,31.05,In stock,18
The Elephant Tree,Thriller,Five,23.82,In stock,18
The Bear and the Piano,Childrens,One,36.89,In stock,18
Sophie's World,Philosophy,Five,15.94,In stock,18
Penny Maybe,Default,Three,33.29,In stock,18
Maude (1883-1993):She Grew Up with the country,Default,Two,18.02,In stock,18
"In a Dark, Dark Wood",Mystery,One,19.63,In stock,18
Behind Closed Doors,Thriller,Four,52.22,In stock,18
You can't bury them all: Poems,Poetry,Two,33.63,In stock,17
Slow States of Collapse: Poems,Poetry,Three,57.31,In stock,17
Reasons to Stay Alive,Nonfiction,Two,26.41,In stock,17
Private Paris (Private #10),Fiction,Five,47.61,In stock,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,23.11,In stock,17
Without Borders (Wanderlove #1),New Adult,Two,45.07,In stock,16
When We Collided,Contemporary,One,31.77,In stock,16
"We Love You, Charlie Freeman",Fiction,Five,50.27,In stock,16
Untitled Collection: Sabbath Poems 2014,Poetry,Four,14.27,In stock,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,44.18,In stock,16
Unicorn Tracks,Fantasy,Three,18.78,In stock,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,25.52,In stock,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,16.28,In stock,16
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,31.12,In stock,16
This One Summer,Sequential Art,Four,19.49,In stock,16
Thirst,Fiction,Five,17.27,In stock,16
The Torch Is Passed: A Harding Family Story,Add a comment,One,19.09,In stock,16
The Secret of Dreadwillow Carse,Childrens,One,56.13,In stock,16
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,56.41,In stock,16
The Past Never Ends,Mystery,Four,56.5,In stock,16
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,Three,45.22,In stock,16
The Nameless City (The Nameless City #1),Sequential Art,Four,38.16,In stock,16
The Murder That Never Was (Forensic Instincts #5),Fiction,Three,54.11,In stock,16
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,Four,42.96,In stock,16
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,Four,23.89,In stock,16
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,Three,16.77,In stock,16
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,20.59,In stock,16
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,One,37.13,In stock,16
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,One,56.06,In stock,16
The Death of Humanity: and the Case for Life,Philosophy,Four,58.11,In stock,16
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,49.05,In stock,16
The Art Forger,Add a comment,Three,40.76,In stock,16
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,One,19.73,In stock,16
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,Five,32.24,In stock,16
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,41.83,In stock,16
Soul Reader,Default,Two,39.58,In stock,16
Security,Horror,Two,39.25,In stock,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,25.02,In stock,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,51.04,In stock,16
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,Two,19.83,In stock,16
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,50.4,In stock,16
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,13.61,In stock,16
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,Five,13.34,In stock,16
"Pop Gun War, Volume 1: Gift",Sequential Art,One,18.97,In stock,16
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,36.28,In stock,16
Patience,Sequential Art,Three,10.16,In stock,16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,15.44,In stock,16
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,One,48.41,In stock,16
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,One,46.35,In stock,16
On a Midnight Clear,Add a comment,Three,14.07,In stock,16
Obsidian (Lux #1),Young Adult,Two,14.86,In stock,16
My Paris Kitchen: Recipes and Stories,Food and Drink,Two,33.37,In stock,16
Masks and Shadows,Fantasy,Two,56.4,In stock,16
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,14.02,In stock,16
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,46.91,In stock,16
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,45.61,In stock,16
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Two,19.92,In stock,16
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,40.11,In stock,16
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,Two,53.9,In stock,16
Join,Science Fiction,Five,35.67,In stock,16
In the Country We Love: My Family Divided,Nonfiction,Four,22.0,In stock,16
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,Five,57.36,In stock,16
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Two,29.17,In stock,16
I am a Hero Omnibus Volume 1,Sequential Art,Three,54.63,In stock,16
How to Be Miserable: 40 Strategies You Already Use,Self Help,One,46.03,In stock,16
Her Backup Boyfriend (The Sorensen Family #1),Romance,One,33.97,In stock,16
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Two,22.11,In stock,16
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Three,29.69,In stock,16
First and First (Five Boroughs #3),Romance,Four,15.97,In stock,16
Fifty Shades Darker (Fifty Shades #2),Romance,One,21.96,In stock,16
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Two,54.35,In stock,16
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Two,37.97,In stock,16
Danganronpa Volume 1,Sequential Art,Four,51.99,In stock,16
Crown of Midnight (Throne of Glass #2),Fantasy,Three,43.29,In stock,16
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,Four,36.72,In stock,16
Camp Midnight,Sequential Art,Four,17.08,In stock,16
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,Five,29.14,In stock,16
Burning,Young Adult,Three,28.81,In stock,16
Bossypants,Default,Two,49.46,In stock,16
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Two,37.92,In stock,16
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,Two,28.09,In stock,16
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,One,30.81,In stock,16
A World of Flavor: Your Gluten Free Passport,Default,One,42.95,In stock,16
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,Five,56.76,In stock,16
A Murder in Time,Mystery,One,16.64,In stock,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,Five,55.53,In stock,16
A Fierce and Subtle Poison,Young Adult,Four,28.13,In stock,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,One,52.37,In stock,16
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,Five,54.0,In stock,16
You Are What You Love: The Spiritual Power of Habit,Religion,Four,21.87,In stock,15
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,Four,43.3,In stock,15
Tuesday Nights in 1980,Fiction,Two,21.04,In stock,15
Tracing Numbers on a Train,Default,Three,41.6,In stock,15
Throne of Glass (Throne of Glass #1),Fantasy,Three,35.07,In stock,15
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,One,59.64,In stock,15
Thirteen Reasons Why,Default,One,52.72,In stock,15
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,Four,58.08,In stock,15
The Wedding Dress,Romance,One,24.12,In stock,15
The Vacationers,Fiction,Four,42.15,In stock,15
The Third Wave: An Entrepreneurâs Vision of the Future,Business,Five,12.61,In stock,15
The Stranger,Philosophy,Four,17.44,In stock,15
The Shadow Hero (The Shadow Hero),Sequential Art,One,33.14,In stock,15
The Secret (The Secret #1),Default,Four,27.37,In stock,15
The Regional Office Is Under Attack!,Fiction,Five,51.36,In stock,15
The Psychopath Test: A Journey Through the Madness Industry,Default,Two,36.0,In stock,15
The Project,Science Fiction,One,10.65,In stock,15
